id_supplier,name,city,street,house,quality_assessment
76,DynamicTech,Магнитогорск,Западная Шоссе,61,1.94
77,SilentCo,Белгород,Заводская Бульвар,75,7.0
78,BoldPartners,Краснодар,Заводская Проезд,46,4.46
79,BrightCo,Владимир,Лесная Шоссе,4,7.19
80,FreshPartners,Киров,Мира Бульвар,54,8.46
81,SwiftEnterprises,Калуга,Полевая Переулок,1,6.78
82,PrimeGroup,Губкин,Южная Переулок,64,6.31
83,FreshEnterprises,Екатеринбург,Садовая Улица,17,2.93
84,DynamicCo,Новосибирск,Новая Переулок,32,6.69
85,DynamicSystems,Волгоград,Садовая Переулок,96,4.77
86,FreshPartners,Тюмень,Молодёжная Переулок,50,2.0
87,FreshTech,Саратов,Северная Переулок,35,5.44
88,BrightSystems,Астрахань,Южная Дорога,74,4.87
89,PrimeTech,Губкин,Новая Дорога,72,7.71
90,FreshLabs,Санкт-Петербург,Строителей Шоссе,60,3.57
91,SilentEnterprises,Тюмень,Восточная Площадь,16,8.14
92,FreshWorks,Хабаровск,Полевая Площадь,51,5.18
93,DynamicFoods,Магнитогорск,Центральная Дорога,31,7.92
94,EliteEnterprises,Оренбург,Новая Бульвар,93,4.31
95,DynamicWorks,Ярославль,Мира Улица,69,4.95
96,PrimeGroup,Самара,Восточная Улица,4,9.63
97,ClearFoods,Нижний Новгород,Пролетарская Переулок,75,5.84
98,ClearTech,Брянск,Центральная Переулок,83,6.39
99,BoldEnterprises,Воронеж,Речная Проезд,81,6.07
100,BrightFoods,Калуга,Полевая Улица,31,6.33
